asn,cc,name,cone,unsigned_customers,impact_score
5400,GB,British Telecommunications (International) ,65,39,2535
7459,US,"Grande Communications Networks, LLC",57,44,2508
4515,HK,PCCW IMS Ltd (PCCW Business Internet Access),62,40,2480
6424,PT,EDGOO NETWORKS,107,23,2461
262355,BR,VSX Networks,63,39,2457
34224,BG,Neterra Ltd.,162,15,2430
196695,RU,NetOne Rus JSC,62,39,2418
15305,US,"Syringa Networks, LLC",67,36,2412
29465,NG,MTN NIGERIA Communication limited,53,45,2385
15994,HR,A1 Hrvatska d.o.o.,61,39,2379
58495,ID,PT Parsaoran Global Datatrans,148,16,2368
262740,BR,VELOO NET LTDA,55,43,2365
20632,RU,PJSC MegaFon,59,40,2360
835,CA,GoCodeIT Inc,75,31,2325
45147,ID,PT NAP Info Lintas Nusa,129,18,2322
35753,SA,Etihad Salam Telecom CJSC,80,29,2320
52361,AR,ARSAT - Empresa Argentina de Soluciones Satelitales S.A.,165,14,2310
6789,RU,CRELCOM LLC,62,37,2294
12695,RU,LLC Digital Network,58,39,2262
262847,BR,DBUG TELECOM LTDA,58,38,2204
135607,PH,Infinivan Incorporated,183,12,2196
7342,US,VeriSign Infrastructure & Operations,51,43,2193
263276,BR,BBG TELECOM LTDA,73,30,2190
35168,KZ,TNS-Plus LLP,91,24,2184
30600,US,Metronet,59,37,2183
55685,ID,PT Jala Lintas Media,134,16,2144
268314,BR,SUPORTI TELECOM,67,32,2144
5089,GB,Virgin Media Limited,62,34,2108
8767,DE,M-net Telekommunikations GmbH,67,31,2077
13876,US,"FiberLight, LLC",61,34,2074
26801,US,"Zito Media, L.P.",59,35,2065
35805,GE,"JSC ""Silknet""",76,27,2052
25159,RU,PJSC MegaFon,57,36,2052
16019,CZ,Vodafone Czech Republic a.s.,136,15,2040
3204,EE,xTom OU,55,37,2035
57724,RU,DDOS-GUARD LTD,75,27,2025
15924,TR,Vodafone Turkey,183,11,2013
28189,BR,NOVVACORE,59,34,2006
11272,US,C Spire Fiber,54,37,1998
33668,US,"Comcast Cable Communications, LLC",62,32,1984
47605,FI,FNE-Finland Oy,79,25,1975
33490,US,Comcast (Portland/Spokane),58,34,1972
53115,BR,ISPX Solucoes em Telecomunicacoes SPE Ltda,65,30,1950
4847,CN,China Telecom Beijing Province Network,65,30,1950
1853,AT,ACONET,52,37,1924
42473,AT,Anexia Cloud Solutions GmbH,80,24,1920
262761,BR,Sinal Br Telecom Ltda,60,32,1920
263703,VE,VIGINET C.A (vnet),90,21,1890
266931,BR,NOVELL INTERNET,59,32,1888
52872,BR,VOANET Telecomunicações Ltda.,65,29,1885
25899,US,LS Networks,59,31,1829
8473,SE,Bahnhof AB,65,28,1820
39386,SA,Saudi Telecom Company JSC,68,26,1768
28198,BR,SEMPRE TELECOMUNICACOES LTDA,57,31,1767
28173,BR,Dinamica Telecomunicacoes Ltda,57,31,1767
8437,AT,Hutchison Drei Austria GmbH,55,32,1760
49063,RU,Data Storage Center JSC,51,34,1734
45458,TH,SBN-ISP/AWN-ISP and SBN-NIX/AWN-NIX,82,21,1722
137366,ID,PT iForte Solusi Infotek,132,13,1716
7725,US,"Comcast Cable Communications, LLC",59,29,1711
17762,IN,Tata Teleservices Maharashtra Ltd,121,14,1694
1759,FI,Telia Finland Oyj,56,30,1680
719,FI,Elisa Oyj,59,28,1652
25180,GB,Exponential-E Ltd.,51,32,1632
15802,AE,Emirates Integrated Telecommunications Company PJSC,74,22,1628
33660,US,"Comcast Cable Communications, LLC",57,28,1596
201776,RU,Miranda-Media Ltd,66,24,1584
47147,AT,Anexia Cloud Solutions GmbH,75,21,1575
8434,SE,Telenor Sverige AB,111,14,1554
138915,HK,Kaopu Cloud HK Limited,86,18,1548
6697,BY,Beltelecom,53,29,1537
394684,US,GOLD DATA USA INC,73,21,1533
7470,TH,"TRUE INTERNET Co.,Ltd.",90,17,1530
29802,US,"HIVELOCITY, Inc.",85,18,1530
262503,BR,WIKI TELECOMUNICACOES EIRELI,58,26,1508
35819,SA,Etihad Etisalat (Mobily),65,23,1495
24534,ID,PT Trans Hybrid Communication,166,9,1494
10099,HK,China Unicom Global,93,16,1488
262191,CO,LIBERTY NETWORKS DE COLOMBIA S.A.S,59,25,1475
41095,GB,IPTP LTD,59,25,1475
8308,PL,NAUKOWA I AKADEMICKA SIEC KOMPUTEROWA - PANSTWOWY INSTYTUT BADAWCZY,70,21,1470
45117,IN,Ishan Netsol Pvt Ltd,103,14,1442
58224,IR,Iran Telecommunication Company PJS,103,14,1442
2119,NO,Telenor Norge AS,72,20,1440
31042,RS,Yettel d.o.o.,52,27,1404
136557,AU,Host Universal Pty Ltd,99,14,1386
135069,NZ,Feenix Communications Limited,69,20,1380
14259,CL,Gtd Internet S.A.,64,21,1344
3267,RU,National Research Computer Network of Russia,66,20,1320
2860,PT,"NOS COMUNICACOES, S.A.",55,24,1320
196844,PL,"Institute of Bioorganic Chemistry Polish Academy of Science, Poznan Supercomputing and Networking Center",59,22,1298
47232,CZ,ISP Alliance a.s.,99,13,1287
38731,VN,Viettel - CHT Company Ltd,80,16,1280
24724,PL,Atman Sp. z o.o.,58,22,1276
26677,CA,ORION,58,22,1276
12310,RO,iNES GROUP SRL,67,19,1273
197068,RU,High Load Lab (Qrator),55,23,1265
29208,CZ,"Quantcom, a.s.",66,19,1254
63293,US,Meta (CDN Network),89,14,1246
17451,ID,Biznet Networks,68,18,1224
9119,SI,SOFTNET d.o.o.,76,16,1216
5578,SK,"SWAN, a.s.",52,23,1196
8866,BG,Vivacom Bulgaria EAD,170,7,1190
3302,IT,Retelit Digital Services S.p.A.,56,21,1176
138128,ID,PT Solnet Indonesia,116,10,1160
8262,BG,Evolink EAD,89,13,1157
44901,BG,Belcloud LTD,127,9,1143
11014,AR,Metrotel,81,14,1134
34309,DE,Link11 GmbH,54,21,1134
29169,FR,GANDI SAS,112,10,1120
57866,NL,Fusix Networks B.V.,80,14,1120
141137,ID,PT Media Cepat Indonesia,93,12,1116
58511,AU,Swoop (Anycast Global Backbone),58,19,1102
9829,IN,BSNL (Bharat Sanchar Nigam Ltd),78,14,1092
5391,HR,Hrvatski Telekom d.d.,54,20,1080
17665,IN,ONEOTT INTERTAINMENT LIMITED,134,8,1072
61621,BR,Norte.Net Telecomunicações Ltda,56,19,1064
15412,GB,Flag Telecom UK Limited,96,11,1056
17922,ID,PT Indosat Tbk,55,19,1045
45305,ID,PT Lintas Data Prima,80,13,1040
50606,PL,Horyzont Technologie Internetowe sp.z.o.o.,51,20,1020
40676,US,Psychz Networks,84,12,1008
139057,SG,Legend Dynasty Pte. Ltd.,63,16,1008
8412,AT,T-Mobile Austria GmbH,56,18,1008
16086,FI,DNA Oyj,53,19,1007
26042,US,"FiberState, LLC",62,16,992
132280,TH,Symphony Communication (Thailand) PCL.,61,16,976
134654,ID,PT Data Utama Dinamika,88,11,968
133296,IN,Web Werks India Pvt. Ltd.,74,13,962
139009,BD,Windstream Communication Limited,320,3,960
263702,CL,GRUPO ZGH SPA,60,16,960
35625,FR,Eurofiber France SAS,66,14,924
31287,BG,IPACCT CABLE Ltd,115,8,920
56048,CN,China Mobile Group Beijing Company,51,18,918
8764,LT,"Telia Lietuva, AB",51,18,918
202984,RU,Team-Host (Chernyshov Aleksandr Aleksandrovich),53,17,901
13194,LT,"UAB ""Bite Lietuva""",64,14,896
6768,UA,"""EUROTELE-PLUS"" LLC",56,16,896
271493,BR,SPEED NET PEDRA,56,16,896
4651,TH,The Communications Authority of Thailand (CAT),59,15,885
64315,ID,PT Mitra Visioner Pratama,126,7,882
29049,AZ,Delta Telecom Ltd,66,13,858
5483,HU,Magyar Telekom Plc.,66,13,858
43754,IR,Asiatech Data Transmission company,141,6,846
58682,BD,Level3 Carrier Ltd.,277,3,831
4621,TH,UniNet Thailand,69,12,828
35104,KZ,Jusan Mobile JSC,51,16,816
17433,HK,Hytron Network Services Limited,54,14,756
35699,ES,Adamo Telecom Iberia S.A.,58,13,754
63927,HK,RISE,83,9,747
17439,IN,NTT Communications India Pvt. Ltd.,83,9,747
49581,DE,Ferdinand Zink trading as Tube-Hosting,118,6,708
8849,LT,Melbikomas UAB,58,12,696
9931,TH,National Telecom Public Company Limited,51,13,663
24516,AU,Virtutel Pty Ltd,51,13,663
20965,NL,GEANT Vereniging,60,11,660
41313,BG,"""NOVATEL"" EOOD",55,12,660
12735,TR,TurkNet Iletisim Hizmetleri A.S.,93,7,651
3212,SI,Telemach Slovenija d.o.o.,62,10,620
3249,EE,Telia Eesti AS,51,12,612
3399,SE,Obenet AB,61,10,610
45430,TH,SBN-IIG/AWN-IIG transit provider,51,11,561
30058,US,FDCservers.net,59,9,531
17408,TW,AboveNet Communications Taiwan,74,7,518
396998,US,"Path Network, Inc.",56,9,504
3170,GB,VeloxServ Communications Ltd,52,9,468
8449,KG,"""ElCat"" Ltd.",52,9,468
58715,BD,EARTH TELECOMMUNICATION (Pvt) LTD.,146,3,438
55824,IN,NKN Core Network,86,5,430
150178,BD,EXABYTE LTD,124,3,372
55818,ID,Matrix Cable Internet Exchange,53,7,371
44066,DE,firstcolo GmbH,121,3,363
137085,IN,ANONET COMMUNICATIONS PVT LTD,51,7,357
58212,DE,dataforest GmbH,67,5,335
14618,US,"Amazon.com, Inc.",55,6,330
4750,TH,CS LOXINFO PUBLIC COMPANY LIMITED,55,6,330
4780,TW,Digital United Inc.,55,5,275
62610,US,Zenlayer Inc,88,3,264
21433,GB,Accenture UK Limited,63,4,252
49800,AM,GNC-Alfa CJSC,61,4,244
12297,AM,Telecom Armenia OJSC,58,4,232
63023,US,GTHost,57,4,228
24198,ID,PT Datakom Padma Jaya,52,4,208
4229,US,Zenlayer Inc,52,4,208
17494,BD,Bangladesh Telegraph & Telephone Board,80,2,160
149994,BD,Rego Communications Ltd,53,3,159
30823,DE,aurologic GmbH,73,2,146
42020,LB,OGERO,132,1,132
137491,BD,Peerex Networks Ltd,65,2,130
132770,IN,Gazon Communications India Limited,64,1,64
52444,AR,Pogliotti & Pogliotti Construcciones S.A.,56,1,56
139901,BD,Apple Communication Ltd.,59,0,0
150748,BD,Gmax,58,0,0
58656,BD,bdHUB Limited,56,0,0
135718,IN,DISHAWAVES INFONET PVT. LTD,55,0,0
