asn,name,cc,cone,verdict,apnic_score,dirty_feeds,total_feeds,atlas_result,apnic_stdev,apnic_min90,apnic_max90
6939,Hurricane Electric LLC,US,72881,CORE: ACTIVE PROTECTOR,100.0,0,0,,3.5,88.5,99.9
174,"Cogent Communications, LLC",US,68015,CORE: ACTIVE PROTECTOR,97.34,0,0,SECURE (Verified Active),6.3,74.6,99.4
24482,SG.GS,SG,67857,ACTIVE (Atlas Verified),-1.0,1,5,SECURE (Verified Active),-1.0,-1.0,-1.0
3356,Lumen (Level 3),US,67370,CORE: ACTIVE PROTECTOR,96.13,0,0,SECURE (Verified Active),2.2,90.6,99.5
37721,Virtual Technologies & Solutions,BF,60716,VULNERABLE (Atlas Verified),0.0,0,14,VULNERABLE,-1.0,-1.0,-1.0
35280,F5 Networks SARL,FR,52753,PARTIAL: VULNERABLE (Mixed),-1.0,1,6,INCONCLUSIVE (Bypassed),-1.0,-1.0,-1.0
1299,Arelion (fka. Telia Carrier),SE,50748,CORE: ACTIVE PROTECTOR,100.0,0,0,,37.5,0.0,100.0
9002,RETN Limited,GB,48665,Unverified (Transit/Peer?),79.13,0,0,,15.3,0.0,100.0
6461,Zayo Bandwidth,US,47263,CORE: ACTIVE PROTECTOR,1.16,0,0,,-1.0,-1.0,-1.0
17639,Converge ICT Solutions Inc.,PH,43128,PARTIAL: VULNERABLE (Mixed),0.35,4,16,,-1.0,-1.0,-1.0
3216,Vimpelcom PJSC,RU,35341,PARTIAL: VULNERABLE (Mixed),-1.0,1,8,,-1.0,-1.0,-1.0
34549,meerfarbig GmbH & Co. KG,DE,35312,PARTIAL: VULNERABLE (Mixed),-1.0,1,8,,-1.0,-1.0,-1.0
34927,iFog GmbH,CH,34451,PARTIAL: VULNERABLE (Mixed),-1.0,2,11,,-1.0,-1.0,-1.0
33891,Core-Backbone GmbH,DE,33935,PARTIAL: VULNERABLE (Mixed),-1.0,1,6,,-1.0,-1.0,-1.0
48362,Stadtwerke Feldkirch,AT,32931,PARTIAL: VULNERABLE (Mixed),-1.0,1,4,,-1.0,-1.0,-1.0
3257,GTT Communications Inc.,US,32631,CORE: ACTIVE PROTECTOR,100.0,0,0,,1.4,92.4,98.8
34019,Hivane Association,FR,31654,ACTIVE (Atlas Verified),-1.0,4,10,SECURE (Verified Active),-1.0,-1.0,-1.0
2914,"NTT America, Inc.",US,31360,CORE: ACTIVE PROTECTOR,84.82,0,0,,6.3,73.4,98.7
20485,TransTeleCom JSC,RU,28807,PARTIAL: VULNERABLE (Mixed),-1.0,1,7,,-1.0,-1.0,-1.0
12779,IT.Gate S.p.A.,IT,26743,PARTIAL: VULNERABLE (Mixed),-1.0,2,5,,-1.0,-1.0,-1.0
213241,TECHIT.BE SRL,BE,25036,PARTIAL: VULNERABLE (Mixed),69.41,2,3,,30.2,0.0,82.9
50673,Serverius Holding B.V.,NL,24452,PASSIVE (Clean Pipe),-1.0,0,6,,-1.0,-1.0,-1.0
50300,CustodianDC Limited,GB,22952,PARTIAL: VULNERABLE (Mixed),-1.0,1,6,,-1.0,-1.0,-1.0
3214,xTom GmbH,DE,22045,PARTIAL: VULNERABLE (Mixed),100.0,1,7,,18.6,46.2,100.0
48185,team.blue NV,BE,21668,PARTIAL: VULNERABLE (Mixed),-1.0,1,6,,-1.0,-1.0,-1.0
29632,Netassist International EOOD,DE,21632,PARTIAL: VULNERABLE (Mixed),-1.0,1,3,,-1.0,-1.0,-1.0
13335,"Cloudflare, Inc.",US,18875,ACTIVE LOCAL ROV (Hardcoded),100.0,13,34,,9.5,32.9,65.9
3333,Reseaux IP Europeens Network Coordination Centre (RIPE NCC),NL,17356,ACTIVE LOCAL ROV,-1.0,0,5,,-1.0,-1.0,-1.0
20473,"The Constant Company, LLC",US,15944,ACTIVE (Atlas Verified),100.0,4,19,SECURE (Verified Active),0.9,96.0,99.8
50304,Blix Solutions AS,NO,15241,ACTIVE LOCAL ROV,-1.0,0,2,,-1.0,-1.0,-1.0
56655,Gigahost AS,NO,14487,PARTIAL: VULNERABLE (Mixed),94.09,1,3,,4.2,79.7,98.6
212024,Marc Schmitt,FR,14156,PARTIAL: VULNERABLE (Mixed),-1.0,1,2,,-1.0,-1.0,-1.0
25091,IP-Max SA,CH,13742,PARTIAL: VULNERABLE (Mixed),-1.0,2,8,,-1.0,-1.0,-1.0
1836,green.ch AG,CH,13649,PARTIAL: VULNERABLE (Mixed),0.0,3,7,,-1.0,-1.0,-1.0
31500,Global Network Management Inc,AG,13306,PASSIVE (Clean Pipe),-1.0,0,3,,-1.0,-1.0,-1.0
56662,Marcin Gondek,PL,12612,PARTIAL: VULNERABLE (Mixed),-1.0,3,4,,-1.0,-1.0,-1.0
31133,MegaFon PJSC,RU,11110,PARTIAL: VULNERABLE (Mixed),-1.0,1,6,,-1.0,-1.0,-1.0
6762,Telecom Italia Sparkle (Seabone),IT,11053,CORE: ACTIVE PROTECTOR,-1.0,0,0,,-1.0,-1.0,-1.0
12389,Rostelecom PJSC,RU,11019,VULNERABLE (Atlas Verified),2.34,1,11,VULNERABLE (ATLAS Verified),-1.0,-1.0,-1.0
30781,Free Pro SAS,FR,10895,ACTIVE LOCAL ROV,98.89,0,5,,2.1,90.8,100.0
7575,Australian Academic and Research Network (AARNet),AU,9639,ACTIVE LOCAL ROV,99.26,0,4,,1.0,96.7,100.0
7018,"AT&T Enterprises, LLC",US,9477,CORE: ACTIVE PROTECTOR,55.56,0,0,SECURE (Verified Active),-1.0,-1.0,-1.0
3491,PCCW Global (HK) Ltd.,HK,9309,CORE: ACTIVE PROTECTOR,95.16,0,0,SECURE (Verified Active),45.0,0.8,100.0
49673,Truenetwork LLC,RU,9069,PARTIAL: VULNERABLE (Mixed),-1.0,5,6,,-1.0,-1.0,-1.0
6453,TATA Communications (America) Inc,US,8861,CORE: ACTIVE PROTECTOR,71.96,0,0,,29.1,0.0,100.0
9498,Bharti Airtel Ltd.,IN,8814,PASSIVE (Clean Pipe),1.75,0,12,,-1.0,-1.0,-1.0
208972,GIBIRNet Iletisim,TR,8200,PARTIAL: VULNERABLE (Mixed),57.79,5,6,,-1.0,-1.0,-1.0
38001,NewMedia Express Pte. Ltd.,SG,8039,PARTIAL: VULNERABLE (Mixed),8.9,2,8,,-1.0,-1.0,-1.0
8966,Etisalat (E&),AE,7066,PARTIAL: VULNERABLE (Mixed),0.11,2,14,,-1.0,-1.0,-1.0
701,Verizon Business,US,6995,CORE: ACTIVE PROTECTOR,99.77,0,0,SECURE (Verified Active),0.4,98.3,99.9
7713,PT Telkom Indonesia Tbk,ID,6670,PARTIAL: VULNERABLE (Mixed),0.71,2,15,,-1.0,-1.0,-1.0
1103,SURF B.V.,NL,6435,PARTIAL: VULNERABLE (Mixed),100.0,2,5,,0.0,99.8,100.0
8220,COLT,GB,6398,ACTIVE LOCAL ROV,100.0,0,9,,1.7,90.3,99.4
58057,Securebit AG,CH,6239,PARTIAL: VULNERABLE (Mixed),-1.0,10,17,,-1.0,-1.0,-1.0
8218,Zayo Europe,FR,6213,PARTIAL: VULNERABLE (Mixed),100.0,1,3,,2.6,88.9,100.0
3303,Swisscom (Schweiz) AG,CH,6019,ACTIVE LOCAL ROV,99.86,0,10,,0.0,99.7,99.9
4637,Telstra International Limited,HK,5184,CORE: ACTIVE PROTECTOR,2.38,0,0,,-1.0,-1.0,-1.0
9304,HGC Global Communications Limited,HK,5156,PARTIAL: VULNERABLE (Mixed),0.34,2,15,,-1.0,-1.0,-1.0
3320,Deutsche Telekom AG,DE,4951,CORE: ACTIVE PROTECTOR,99.66,0,0,SECURE (Verified Active),0.1,99.7,99.8
52468,UFINET PANAMA S.A.,PA,4915,PARTIAL: VULNERABLE (Mixed),3.28,1,12,,-1.0,-1.0,-1.0
13030,Init7 (Switzerland) Ltd.,CH,4810,VULNERABLE (Atlas Verified),1.13,0,2,VULNERABLE (ATLAS Verified),-1.0,-1.0,-1.0
6696,VERIXI SA,BE,4686,PASSIVE (Clean Pipe),9.23,0,4,,-1.0,-1.0,-1.0
15830,"Equinix, Inc.",NL,4287,PARTIAL: VULNERABLE (Mixed),3.77,4,17,,-1.0,-1.0,-1.0
38255,China Education and Research Network (CERNET),CN,4182,VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
137409,GSL Networks Pty LTD,AU,3901,ACTIVE UNSTABLE,99.38,0,6,,25.5,0.6,99.9
22652,Videotron Ltee,CA,3517,PASSIVE (Clean Pipe),4.15,0,4,,-1.0,-1.0,-1.0
204092,Association GRIFON,FR,3441,ACTIVE LOCAL ROV,-1.0,0,2,,-1.0,-1.0,-1.0
32787,Akamai (Prolexic),US,3160,PARTIAL: VULNERABLE (Mixed),-1.0,5,22,,-1.0,-1.0,-1.0
5405,Inter.link GmbH,DE,3131,ACTIVE LOCAL ROV,-1.0,0,8,,-1.0,-1.0,-1.0
394256,Tech Futures Interactive Inc.,CA,3090,PARTIAL: VULNERABLE (Mixed),-1.0,4,7,,-1.0,-1.0,-1.0
14907,Wikimedia Foundation Inc.,US,2885,PARTIAL: VULNERABLE (Mixed),-1.0,2,14,,-1.0,-1.0,-1.0
16735,Algar Telecom,BR,2828,PARTIAL: VULNERABLE (Mixed),96.62,2,5,,5.5,74.0,97.1
58453,China Mobile International,HK,2698,PASSIVE (Clean Pipe),0.12,0,10,,-1.0,-1.0,-1.0
12859,BIT BV,NL,2694,ACTIVE LOCAL ROV,98.67,0,2,,0.5,98.6,100.0
50628,Leonix Telecom SAS,FR,2515,PASSIVE (Clean Pipe),-1.0,0,4,,-1.0,-1.0,-1.0
4755,TATA Communications (formerly VSNL),IN,2490,PARTIAL: VULNERABLE (Mixed),5.41,1,2,,-1.0,-1.0,-1.0
9930,TIME dotCom Bhd,MY,2398,PARTIAL: VULNERABLE (Mixed),0.38,1,8,,-1.0,-1.0,-1.0
23764,China Telecom Global,HK,2231,PARTIAL: VULNERABLE (Mixed),0.0,1,13,,-1.0,-1.0,-1.0
202365,Chronos,TR,2172,PARTIAL: VULNERABLE (Mixed),-1.0,3,4,,-1.0,-1.0,-1.0
5511,Orange S.A.,FR,2143,CORE: ACTIVE PROTECTOR,96.97,0,0,,2.3,89.3,100.0
20562,Open Peering (Broadband Hosting B.V.),NL,2136,PASSIVE (Clean Pipe),-1.0,0,2,,-1.0,-1.0,-1.0
852,TELUS Communications Inc.,CA,2093,ACTIVE LOCAL ROV,99.73,0,6,,0.1,99.7,99.9
8359,MTS PJSC,RU,2060,PARTIAL: VULNERABLE (Mixed),-1.0,1,3,,-1.0,-1.0,-1.0
52025,ParadoxNetworks Limited,GB,2039,PARTIAL: VULNERABLE (Mixed),-1.0,7,16,,-1.0,-1.0,-1.0
14840,BR.DIGITAL ,BR,1958,PARTIAL: VULNERABLE (Mixed),0.43,2,5,,-1.0,-1.0,-1.0
64073,Vetta Group,NZ,1924,PASSIVE (Clean Pipe),0.0,0,2,,-1.0,-1.0,-1.0
1764,Next Layer Telecommunications,AT,1924,PARTIAL: VULNERABLE (Mixed),98.2,1,7,,1.2,94.7,99.7
42708,Glesys AB,SE,1916,PASSIVE (Clean Pipe),0.0,0,1,,-1.0,-1.0,-1.0
12956,Telxius (Telefonica Global),ES,1588,CORE: ACTIVE PROTECTOR,-1.0,0,0,,-1.0,-1.0,-1.0
53062,ALT | GRUPO BRASIL TECPAR,BR,1493,PARTIAL: VULNERABLE (Mixed),1.72,4,13,,-1.0,-1.0,-1.0
46887,Crown Castle Fiber LLC,US,1379,PASSIVE (Clean Pipe),3.61,0,3,,-1.0,-1.0,-1.0
7195,EdgeUno,CO,1375,ACTIVE LOCAL ROV,95.77,0,4,,9.0,63.6,100.0
29075,IELO-LIAZO SERVICES SAS,FR,1299,PARTIAL: VULNERABLE (Mixed),99.26,1,8,,18.4,0.0,99.1
4766,Korea Telecom,KR,1261,ACTIVE LOCAL ROV,0.02,0,5,,-1.0,-1.0,-1.0
29504,"Freenet Liberec, z.s.",CZ,1217,PARTIAL: VULNERABLE (Mixed),-1.0,1,3,,-1.0,-1.0,-1.0
20764,CJSC RASCOM,RU,1198,PARTIAL: VULNERABLE (Mixed),-1.0,1,5,,-1.0,-1.0,-1.0
1257,Tele2 Sverige AB,EU,1101,PARTIAL: VULNERABLE (Mixed),99.81,1,7,,-1.0,-1.0,-1.0
4230,Claro (Embratel),BR,1089,PARTIAL: VULNERABLE (Mixed),2.65,2,11,,-1.0,-1.0,-1.0
59919,Brainbox S.r.l.,IT,1016,PASSIVE (Clean Pipe),0.32,0,4,,-1.0,-1.0,-1.0
58717,Summit Communications Ltd,BD,1011,PARTIAL: VULNERABLE (Mixed),0.12,4,11,,-1.0,-1.0,-1.0
4826,Vocus Connect International Backbone,AU,1008,ACTIVE LOCAL ROV,98.8,0,9,,1.3,95.1,100.0
21859,Zenlayer Inc,US,959,PARTIAL: VULNERABLE (Mixed),3.49,18,43,,-1.0,-1.0,-1.0
4635,HKIX Route Servers,HK,910,PARTIAL: VULNERABLE (Mixed),-1.0,3,6,,-1.0,-1.0,-1.0
37468,Angola Cables,AO,893,VULNERABLE (Atlas Verified),1.42,1,8,VULNERABLE (ATLAS Verified),-1.0,-1.0,-1.0
35598,INETCOM CARRIER LLC,RU,847,PARTIAL: VULNERABLE (Mixed),-1.0,3,8,,-1.0,-1.0,-1.0
34854,Maria Merkel trading as Blahaj Studio,DE,834,PASSIVE (Clean Pipe),-1.0,0,4,,-1.0,-1.0,-1.0
9049,"JSC ""ER-Telecom Holding""",RU,827,PARTIAL: VULNERABLE (Mixed),-1.0,3,6,,-1.0,-1.0,-1.0
3223,Voxility LLP,GB,820,PARTIAL: VULNERABLE (Mixed),0.81,1,11,,-1.0,-1.0,-1.0
61832,Giga+ Empresas,BR,818,PARTIAL: VULNERABLE (Mixed),0.37,3,9,,-1.0,-1.0,-1.0
13786,"Seaborn (Seabras USA, LLC)",US,812,PARTIAL: VULNERABLE (Mixed),-1.0,1,5,,-1.0,-1.0,-1.0
12741,Netia SA,PL,801,PARTIAL: VULNERABLE (Mixed),3.03,2,5,,-1.0,-1.0,-1.0
201054,Stowarzyszenie e-Poludnie,PL,770,PARTIAL: VULNERABLE (Mixed),-1.0,7,8,,-1.0,-1.0,-1.0
60068,Datacamp Limited (CDN77 / DataPacket),GB,767,PARTIAL: VULNERABLE (Mixed),0.2,6,26,,-1.0,-1.0,-1.0
55720,Gigabit Hosting Sdn Bhd,MY,669,PARTIAL: VULNERABLE (Mixed),100.0,6,13,,10.6,0.0,38.9
577,Bell Canada,CA,665,ACTIVE LOCAL ROV,99.76,0,8,,0.0,99.8,99.9
61568,ALOO TELECOM - FSF TECNOLOGIA SA,BR,621,PARTIAL: VULNERABLE (Mixed),0.74,3,9,,-1.0,-1.0,-1.0
136106,PT Mega Akses Persada,ID,613,PASSIVE (Clean Pipe),-1.0,0,5,,-1.0,-1.0,-1.0
212508,Lowhosting services of Davide Gennari,IT,611,PARTIAL: VULNERABLE (Mixed),-1.0,1,2,,-1.0,-1.0,-1.0
9583,Sify Limited,IN,595,PARTIAL: VULNERABLE (Mixed),58.86,3,9,,-1.0,-1.0,-1.0
50263,A-Systems Sp. z o.o.,UA,592,PASSIVE (Clean Pipe),-1.0,0,5,,-1.0,-1.0,-1.0
23520,"Columbus Networks USA, Inc.",US,592,PASSIVE (Clean Pipe),0.0,0,6,,-1.0,-1.0,-1.0
4800,PT Aplikanusa Lintasarta,ID,591,PARTIAL: VULNERABLE (Mixed),1.71,4,11,,-1.0,-1.0,-1.0
1221,Telstra Limited,AU,582,ACTIVE LOCAL ROV,99.67,0,3,,0.0,99.7,99.8
1403,EBOX,CA,565,ACTIVE LOCAL ROV,99.86,0,4,,0.1,99.8,100.0
6327,Shaw Communications,CA,554,VULNERABLE (Atlas Verified),0.18,0,6,VULNERABLE (ATLAS Verified),-1.0,-1.0,-1.0
9318,SK Broadband Co Ltd,KR,546,ACTIVE LOCAL ROV,0.14,0,6,,-1.0,-1.0,-1.0
9121,Turk Telekom,TR,536,VULNERABLE (Atlas Verified),0.9,0,5,VULNERABLE (ATLAS Verified),-1.0,-1.0,-1.0
8708,DIGI ROMANIA S.A.,RO,536,ACTIVE LOCAL ROV,99.59,0,3,,0.1,99.6,99.8
37100,SEACOM Limited,MU,535,ACTIVE (Atlas Verified),97.12,1,9,SECURE (Verified Active),50.3,0.0,100.0
3549,Lumen (fka. Global Crossing),US,525,ACTIVE UNSTABLE,97.89,0,1,,19.8,42.4,100.0
30844,Liquid Intelligent Technologies ,GB,525,PARTIAL: VULNERABLE (Mixed),0.61,1,9,,-1.0,-1.0,-1.0
28917,"Fiord Networks, UAB",LT,519,PARTIAL: VULNERABLE (Mixed),-1.0,2,5,,-1.0,-1.0,-1.0
22773,Cox Communications Inc.,US,516,ACTIVE LOCAL ROV,99.9,0,3,,0.0,99.7,99.9
1273,Vodafone Group PLC,EU,513,CORE: ACTIVE PROTECTOR,94.96,0,0,,-1.0,-1.0,-1.0
14789,"Cloudflare, Inc.",US,508,PARTIAL: VULNERABLE (Mixed),0.0,59,64,,-1.0,-1.0,-1.0
209,Lumen (ex. Qwest),US,505,CORE: ACTIVE PROTECTOR,99.86,0,0,,1.5,94.2,99.9
20804,Exatel S.A.,PL,483,PARTIAL: VULNERABLE (Mixed),0.0,1,6,,-1.0,-1.0,-1.0
2497,Internet Initiative Japan Inc.,JP,467,ACTIVE LOCAL ROV,99.33,0,7,,0.5,97.7,99.6
61292,Blix Group AS,NO,466,PARTIAL: VULNERABLE (Mixed),-1.0,1,2,,-1.0,-1.0,-1.0
267613,ELETRONET S.A.,BR,460,PARTIAL: VULNERABLE (Mixed),-1.0,1,9,,-1.0,-1.0,-1.0
3786,LG DACOM Corporation,KR,458,PASSIVE (Clean Pipe),0.02,0,7,,-1.0,-1.0,-1.0
23947,PT Mora Telematika Indonesia Tbk,ID,455,PARTIAL: VULNERABLE (Mixed),0.0,4,9,,-1.0,-1.0,-1.0
11537,Internet2,US,443,Unverified (Transit/Peer?),-1.0,0,0,,-1.0,-1.0,-1.0
17676,SoftBank Corp.,JP,436,ACTIVE LOCAL ROV,99.59,0,7,,0.0,99.6,99.7
3326,Datagroup PJSC,UA,428,PARTIAL: VULNERABLE (Mixed),92.92,1,5,,1.1,92.8,99.2
10429,Vivo (TELEFÔNICA BRASIL),BR,425,ACTIVE LOCAL ROV,0.34,0,2,,-1.0,-1.0,-1.0
50607,Stowarzyszenie e-Poludnie,PL,418,PARTIAL: VULNERABLE (Mixed),-1.0,1,7,,-1.0,-1.0,-1.0
138840,PT Parsaoran Global Datatrans,ID,415,PARTIAL: VULNERABLE (Mixed),0.0,2,7,,-1.0,-1.0,-1.0
271253,LINK BRASIL TELECOMUNICACOES LTDA,BR,411,ACTIVE LOCAL ROV,99.08,0,6,,2.6,90.1,99.6
7717,OpenIXP Route Servers,ID,410,VULNERABLE STABLE,-1.0,2,2,,-1.0,-1.0,-1.0
54004,Cablevision Lightpath LLC,US,409,PARTIAL: VULNERABLE (Mixed),3.27,1,3,,-1.0,-1.0,-1.0
19551,Incapsula Inc,US,407,PARTIAL: VULNERABLE (Mixed),-1.0,16,37,,-1.0,-1.0,-1.0
18229,CtrlS,IN,400,PARTIAL: VULNERABLE (Mixed),0.21,4,5,,-1.0,-1.0,-1.0
37662,West Indian Ocean Cable Company (WIOCC),MU,383,PARTIAL: VULNERABLE (Mixed),0.14,1,5,,-1.0,-1.0,-1.0
7049,Silica Networks Argentina S.A.,AR,375,PASSIVE (Clean Pipe),0.69,0,5,,-1.0,-1.0,-1.0
50509,Transroute.Net,RU,374,PARTIAL: VULNERABLE (Mixed),-1.0,2,7,,-1.0,-1.0,-1.0
29535,Orange Polska Spolka Akcyjna,PL,373,ACTIVE LOCAL ROV,-1.0,0,6,,-1.0,-1.0,-1.0
4134,China Telecom Backbone,CN,368,CORE: UNPROTECTED,0.27,0,0,,-1.0,-1.0,-1.0
206499,LOCIX LIMITED,GB,363,PARTIAL: VULNERABLE (Mixed),-1.0,1,2,,-1.0,-1.0,-1.0
5617,Orange Polska Spolka Akcyjna,PL,358,ACTIVE LOCAL ROV,99.66,0,2,,0.1,99.6,99.8
147094,PT Mitra Visioner Pratama,ID,354,VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
55836,Reliance Jio Infocomm Limited,IN,354,VULNERABLE (Atlas Verified),0.34,2,2,VULNERABLE (ATLAS Verified),-1.0,-1.0,-1.0
45820,Tata Teleservices ISP,IN,347,VULNERABLE STABLE,3.87,4,4,,-1.0,-1.0,-1.0
29076,Citytelecom LLC,RU,346,PARTIAL: VULNERABLE (Mixed),-1.0,3,5,,-1.0,-1.0,-1.0
54994,Meteverse Limited,CA,346,PARTIAL: VULNERABLE (Mixed),0.0,65,94,,-1.0,-1.0,-1.0
28283,Adyl Telecom,BR,346,PARTIAL: VULNERABLE (Mixed),0.14,2,9,,-1.0,-1.0,-1.0
8280,SYNAPSECOM S.A. Provider of Telecommunications and Internet Services,GR,342,ACTIVE LOCAL ROV,100.0,0,3,,0.5,97.8,100.0
10075,Fiber@Home Global Limited,BD,341,PARTIAL: VULNERABLE (Mixed),0.32,4,6,,-1.0,-1.0,-1.0
16276,OVH SAS,FR,339,VULNERABLE (Atlas Verified),0.38,3,18,VULNERABLE (ATLAS Verified),-1.0,-1.0,-1.0
34984,Superonline Iletisim Hizmetleri A.S.,TR,336,PARTIAL: VULNERABLE (Mixed),98.75,1,6,,23.8,12.7,97.3
7029,Windstream Communications LLC,US,333,ACTIVE LOCAL ROV,99.9,0,4,,0.4,98.0,99.9
2764,AAPT Limited,AU,330,PARTIAL: VULNERABLE (Mixed),9.41,1,3,,-1.0,-1.0,-1.0
212895,Johannes Ernst,DE,329,PARTIAL: VULNERABLE (Mixed),-1.0,4,7,,-1.0,-1.0,-1.0
28368,Wirelink (Sobralnet),BR,329,ACTIVE UNSTABLE,0.31,1,1,,-1.0,-1.0,-1.0
24115,Equinix IX,SG,322,VULNERABLE STABLE,-1.0,2,2,,-1.0,-1.0,-1.0
35297,Dataline LLC,UA,321,PASSIVE (Clean Pipe),0.22,0,7,,-1.0,-1.0,-1.0
2119,Telenor Norge AS,NO,319,PARTIAL: VULNERABLE (Mixed),99.91,1,6,,0.0,99.9,100.0
29119,AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL,ES,319,PARTIAL: VULNERABLE (Mixed),0.24,2,11,,-1.0,-1.0,-1.0
7922,"Comcast Cable Communications, LLC",US,319,CORE: ACTIVE PROTECTOR,99.88,0,0,SECURE (Verified Active),0.0,99.9,99.9
55410,Vodafone Idea Ltd,IN,318,PARTIAL: VULNERABLE (Mixed),5.32,3,7,,-1.0,-1.0,-1.0
7473,Singapore Telecommunications Ltd,SG,315,PARTIAL: VULNERABLE (Mixed),-1.0,1,7,,-1.0,-1.0,-1.0
24785,Joint Transit (Broadband Hosting B.V.),NL,311,PARTIAL: VULNERABLE (Mixed),-1.0,1,6,,-1.0,-1.0,-1.0
18403,FPT Telecom Company,VN,307,PARTIAL: VULNERABLE (Mixed),98.76,5,15,,2.5,89.6,99.4
6204,INTERKVM HOST SRL,RO,307,PASSIVE (Clean Pipe),-1.0,0,9,,-1.0,-1.0,-1.0
139009,Windstream Communication Limited,BD,307,PARTIAL: VULNERABLE (Mixed),0.26,5,8,,-1.0,-1.0,-1.0
7474,SingTel Optus Pty Ltd,AU,307,ACTIVE LOCAL ROV,1.57,0,4,,-1.0,-1.0,-1.0
34872,Servperso Systems,BE,299,PARTIAL: VULNERABLE (Mixed),-1.0,4,6,,-1.0,-1.0,-1.0
38158,PT Cyberindo Aditama,ID,298,PARTIAL: VULNERABLE (Mixed),-1.0,1,5,,-1.0,-1.0,-1.0
35625,Eurofiber France SAS,FR,297,PASSIVE (Clean Pipe),0.0,0,3,,-1.0,-1.0,-1.0
32097,"WholeSale Internet, Inc.",US,287,PASSIVE (Clean Pipe),2.32,0,3,,-1.0,-1.0,-1.0
7303,Telecom Argentina S.A.,AR,287,ACTIVE LOCAL ROV,0.24,0,6,,-1.0,-1.0,-1.0
62081,Stowarzyszenie e-Poludnie,PL,282,PARTIAL: VULNERABLE (Mixed),-1.0,1,8,,-1.0,-1.0,-1.0
52965,1Telecom,BR,281,PARTIAL: VULNERABLE (Mixed),0.29,1,4,,-1.0,-1.0,-1.0
55655,PT Sarana Insan Muda Selaras,ID,280,PARTIAL: VULNERABLE (Mixed),-1.0,1,4,,-1.0,-1.0,-1.0
812,Rogers Communications Canada Inc.,CA,280,VULNERABLE (Atlas Verified),0.11,1,7,VULNERABLE (ATLAS Verified),-1.0,-1.0,-1.0
58682,Level3 Carrier Ltd.,BD,278,PARTIAL: VULNERABLE (Mixed),0.17,2,5,,-1.0,-1.0,-1.0
264409,Huge Networks,BR,277,PASSIVE (Clean Pipe),-1.0,0,8,,-1.0,-1.0,-1.0
9299,PLDT (Philippine Long Distance Telephone Company),PH,276,VULNERABLE (Atlas Verified),0.58,3,12,VULNERABLE (ATLAS Verified),-1.0,-1.0,-1.0
29226,MasterTel,RU,276,PARTIAL: VULNERABLE (Mixed),-1.0,7,9,,-1.0,-1.0,-1.0
33491,"Comcast Cable Communications, LLC",US,273,ACTIVE LOCAL ROV,100.0,0,2,,0.6,97.7,100.0
53356,Free Range Cloud Hosting Inc.,CA,273,PARTIAL: VULNERABLE (Mixed),-1.0,9,15,,-1.0,-1.0,-1.0
13237,euNetworks GmbH,DE,272,PARTIAL: VULNERABLE (Mixed),0.0,1,5,,-1.0,-1.0,-1.0
139341,WeChat/QQ CDN,SG,270,PARTIAL: VULNERABLE (Mixed),3.64,63,91,,-1.0,-1.0,-1.0
3255,Ukrainian Academic and Research Network,UA,270,PARTIAL: VULNERABLE (Mixed),98.11,2,7,,16.2,45.9,98.1
12912,T-Mobile Polska S.A.,PL,266,PASSIVE (Clean Pipe),0.55,0,3,,-1.0,-1.0,-1.0
62255,BiMajLink d.o.o.,SI,265,PARTIAL: VULNERABLE (Mixed),-1.0,2,5,,-1.0,-1.0,-1.0
23106,American Tower Brasil,BR,262,PARTIAL: VULNERABLE (Mixed),0.55,1,8,,-1.0,-1.0,-1.0
10796,Charter Communications Inc,US,261,ACTIVE LOCAL ROV,99.94,0,2,,0.0,99.9,100.0
61973,Netassist International s.r.o.,CZ,259,Unverified (Transit/Peer?),-1.0,0,0,,-1.0,-1.0,-1.0
22381,SAMM (Megatelecom),BR,258,PARTIAL: VULNERABLE (Mixed),6.41,1,6,,-1.0,-1.0,-1.0
2516,KDDI Corporation,JP,258,ACTIVE (Atlas Verified),0.14,1,8,SECURE (Verified Active),-1.0,-1.0,-1.0
20115,Charter Communications LLC,US,255,VULNERABLE (Atlas Verified),27.17,0,5,VULNERABLE (ATLAS Verified),-1.0,-1.0,-1.0
5650,Verizon (fka. Frontier),US,253,VULNERABLE (Atlas Verified),0.11,0,2,VULNERABLE (ATLAS Verified),-1.0,-1.0,-1.0
12552,GlobalConnect (IP-Only),SE,251,PASSIVE (Clean Pipe),1.75,0,4,,-1.0,-1.0,-1.0
6730,Sunrise GmbH,CH,251,ACTIVE UNSTABLE,99.83,0,1,,35.2,1.4,99.9
11432,Telium Telecomunicações Ltda,BR,248,PARTIAL: VULNERABLE (Mixed),0.5,2,7,,-1.0,-1.0,-1.0
9730,Bharti Telesonic Ltd,IN,238,VULNERABLE STABLE,-1.0,1,1,,-1.0,-1.0,-1.0
49915,Megaport (UK) Limited,GB,235,PARTIAL: VULNERABLE (Mixed),-1.0,2,11,,-1.0,-1.0,-1.0
22927,Telefonica de Argentina,AR,234,ACTIVE (Atlas Verified),99.65,0,1,SECURE (Verified Active),0.0,99.6,99.8
20940,Akamai International B.V.,NL,234,Unverified (Transit/Peer?),-1.0,0,0,,-1.0,-1.0,-1.0
