asn,name,cc,cone,verdict,apnic_score,dirty,total,atlas_verdict,peers_cloudflare
3356,Lumen (Level 3),US,61283,CORE: PROTECTED,98.97,0,0,SECURE,No Trace
1299,Arelion (fka. Telia Carrier),US,60908,CORE: PROTECTED,100.0,0,0,,
174,"Cogent Communications, LLC",US,56709,CORE: PROTECTED,99.44,0,0,SECURE,No Trace
6453,TATA Communications (America) Inc,US,45423,CORE: UNPROTECTED,0.0,0,0,,
3257,GTT Communications Inc.,US,44086,CORE: PROTECTED,96.88,0,0,,
2914,"NTT America, Inc.",US,39842,CORE: UNPROTECTED,21.78,0,0,,
6762,Telecom Italia Sparkle (Seabone),IT,37326,CORE: UNPROTECTED,-1.0,0,0,,
6939,Hurricane Electric LLC,US,34660,CORE: PROTECTED,99.32,0,0,,
12956,Telxius (Telefonica Global),US,32656,CORE: UNPROTECTED,-1.0,0,0,,
3491,"PCCW Global, Inc.",US,20161,CORE: UNPROTECTED,7.84,0,0,MIXED,No Trace
5511,Orange S.A.,FR,19753,CORE: PROTECTED,100.0,0,0,,
9002,RETN Limited,RU,12943,PARTIAL (Mixed Feeds),-1.0,21,28,,
3320,Deutsche Telekom AG,DE,12418,CORE: PROTECTED,99.8,0,0,SECURE,No Trace
6461,Zayo Bandwidth,US,12404,CORE: UNPROTECTED,3.4,0,0,,
58115,SwissIX Internet Exchange,CH,12018,IXP / Peer / Stub,-1.0,0,0,,
4637,Telstra Global,US,7572,CORE: UNPROTECTED,7.69,0,0,,
1273,Vodafone Group PLC,GB,6183,CORE: UNPROTECTED,94.19,0,0,,
13786,"Seaborn (Seabras USA, LLC)",BR,4754,SECURE (Active Local ROV),100.0,8,10,,
701,Verizon Business,US,4741,CORE: PROTECTED,99.79,0,0,SECURE,No Trace
37468,Angola Cables,BR,4482,PARTIAL (Mixed Feeds),0.0,17,22,VULNERABLE,No Trace
22356,Durand do Brasil Ltda,DE,4385,PARTIAL (Mixed Feeds),-1.0,8,10,,
23911,China Next Generation Internet Beijing IX,CN,4223,PARTIAL (Mixed Feeds),-1.0,2,3,,
38255,China Education and Research Network (CERNET),CN,4180,VULNERABLE (No Coverage),-1.0,3,3,,
7195,EdgeUno,BR,4067,SECURE (Active Local ROV),100.0,6,10,,
9498,Bharti Airtel Ltd.,IN,3986,PARTIAL (Mixed Feeds),2.29,21,29,,
12389,Rostelecom PJSC,RU,3883,PARTIAL (Mixed Feeds),3.56,10,15,VULNERABLE,No Trace
7473,Singapore Telecommunications Ltd,US,3424,SECURE (Active Local ROV),100.0,9,13,,
6830,Liberty Global Europe Holding B.V.,NL,3315,CORE: PROTECTED,99.84,0,0,SECURE,No Trace
58453,China Mobile International,US,3209,PARTIAL (Mixed Feeds),0.19,8,15,,
31133,MegaFon PJSC,RU,3113,PARTIAL (Mixed Feeds),-1.0,13,16,,
52320,V.tal (GlobeNet),BR,3049,PARTIAL (Mixed Feeds),0.0,10,16,,
1031,PEER 1031 LLC,BR,2901,PARTIAL (Mixed Feeds),-1.0,6,7,,
20764,CJSC RASCOM,RU,2751,PARTIAL (Mixed Feeds),-1.0,13,16,,
4755,TATA Communications (formerly VSNL),IN,2731,VULNERABLE (No Coverage),7.35,5,5,,
7922,"Comcast Cable Communications, LLC",US,2729,CORE: PROTECTED,99.92,0,0,SECURE,No Trace
3216,Vimpelcom PJSC,RU,2705,PARTIAL (Mixed Feeds),-1.0,20,23,,
7018,"AT&T Enterprises, LLC",US,2684,CORE: UNPROTECTED,57.16,0,0,SECURE,No Trace
50263,A-Systems Sp. z o.o.,UA,2572,PARTIAL (Mixed Feeds),-1.0,3,8,,
20485,JSC TransTeleKom,RU,2529,PARTIAL (Mixed Feeds),-1.0,11,14,,
10429,Vivo (TELEFÔNICA BRASIL),BR,2500,PARTIAL (Mixed Feeds),0.32,3,5,,
52468,UFINET PANAMA S.A.,BR,2383,PARTIAL (Mixed Feeds),0.99,24,33,,
4826,Vocus Connect International Backbone,AU,1907,SECURE (Active Local ROV),100.0,12,18,,
5405,Inter.link GmbH,DE,1899,PARTIAL (Mixed Feeds),-1.0,6,10,,
16735,Algar Telecom,BR,1886,PARTIAL (Mixed Feeds),76.98,16,18,,
15412,Flag Telecom UK Limited,GB,1855,PARTIAL (Mixed Feeds),-1.0,4,7,,
33891,Core-Backbone GmbH,DE,1838,PARTIAL (Mixed Feeds),-1.0,2,7,,
4230,Claro (Embratel),BR,1696,PARTIAL (Mixed Feeds),1.25,7,12,,
137409,GSL Networks Pty LTD,US,1611,PARTIAL (Mixed Feeds),54.64,7,9,,
35598,INETCOM CARRIER LLC,RU,1599,PARTIAL (Mixed Feeds),-1.0,10,13,,
62255,BiMajLink d.o.o.,RU,1564,PARTIAL (Mixed Feeds),-1.0,3,6,,
23764,China Telecom Global,HK,1546,PARTIAL (Mixed Feeds),0.0,19,26,,
8220,COLT,US,1544,SECURE (Active Local ROV),100.0,10,15,,
64049,Reliance Jio Infocomm Pte. Ltd.,GB,1515,PARTIAL (Mixed Feeds),-1.0,9,12,,
139057,Legend Dynasty Pte. Ltd.,SG,1487,PARTIAL (Mixed Feeds),29.14,51,59,,
14840,BR.DIGITAL ,BR,1251,PARTIAL (Mixed Feeds),2.02,16,18,,
5617,Orange Polska Spolka Akcyjna,PL,1186,SECURE (Full Coverage),99.7,0,2,,
46887,Crown Castle Fiber LLC,US,1182,PARTIAL (Mixed Feeds),4.32,1,3,,
6663,Türk Telekom International,RO,1151,PARTIAL (Mixed Feeds),0.0,4,6,,
57463,NetIX Communications JSC,DE,1109,PARTIAL (Mixed Feeds),-1.0,3,6,,
264409,Huge Networks,BR,1103,PARTIAL (Mixed Feeds),-1.0,5,10,,
61832,Giga+ Empresas,BR,1084,PARTIAL (Mixed Feeds),0.15,13,15,,
55836,Reliance Jio Infocomm Limited,IN,1070,VULNERABLE (No Coverage),0.36,11,11,VULNERABLE,No Trace
28917,"Fiord Networks, UAB",RU,1062,PARTIAL (Mixed Feeds),-1.0,6,8,,
7474,SingTel Optus Pty Ltd,AU,1052,SECURE (Full Coverage),0.64,0,4,,
20473,"The Constant Company, LLC",US,1034,SECURE (Active Local ROV),98.73,20,32,SECURE,No Trace
15830,"Equinix, Inc.",US,1015,PARTIAL (Mixed Feeds),15.66,22,36,,
8167,V.tal,BR,991,PARTIAL (Mixed Feeds),0.14,5,6,,
53062,ALT | GRUPO BRASIL TECPAR,BR,967,PARTIAL (Mixed Feeds),1.14,14,18,,
1221,Telstra Limited,AU,965,SECURE (Active Local ROV),99.8,1,4,,
7843,Charter Communications Inc,US,955,PARTIAL (Mixed Feeds),-1.0,3,8,,
8359,MTS PJSC,RU,950,PARTIAL (Mixed Feeds),14.52,6,7,,
13335,"Cloudflare, Inc.",US,935,SECURE (Active Local ROV),99.55,228,248,,
23520,"Columbus Networks USA, Inc.",CO,915,PARTIAL (Mixed Feeds),0.0,16,21,,
61568,ALOO TELECOM - FSF TECNOLOGIA SA,BR,904,PARTIAL (Mixed Feeds),0.4,13,15,,
22381,Megatelecom Telecomunicacoes Ltda,BR,903,PARTIAL (Mixed Feeds),1.66,8,10,,
7738,V.tal,BR,890,PARTIAL (Mixed Feeds),0.21,3,4,,
4766,Korea Telecom,KR,889,PARTIAL (Mixed Feeds),0.03,1,6,,
31500,Global Network Management Inc,RU,878,PARTIAL (Mixed Feeds),-1.0,2,3,,
202984,Team-Host (Chernyshov Aleksandr Aleksandrovich),RU,875,PARTIAL (Mixed Feeds),-1.0,9,12,,
262589,Megatelecom (Internexa BR),BR,874,PARTIAL (Mixed Feeds),3.33,9,11,,
6204,INTERKVM HOST SRL,PL,871,PARTIAL (Mixed Feeds),-1.0,8,11,,
24482,SG.GS,BR,854,VULNERABLE (No Coverage),-1.0,12,12,,
26615,TIM S/A,BR,834,PARTIAL (Mixed Feeds),2.44,9,10,,
9049,"JSC ""ER-Telecom Holding""",RU,833,PARTIAL (Mixed Feeds),-1.0,10,11,,
53013,WIXNET DO BRASIL LTDA - ME,BR,829,VULNERABLE (No Coverage),0.0,3,3,,
132602,Bangladesh Submarine Cable Company Limited (BSCCL),BD,818,PARTIAL (Mixed Feeds),0.38,5,6,,
267613,ELETRONET S.A.,BR,791,PARTIAL (Mixed Feeds),-1.0,11,14,,
9304,HGC Global Communications Limited,HK,770,PARTIAL (Mixed Feeds),1.0,14,19,,
22927,Telefonica de Argentina,AR,739,SECURE (Active Local ROV),99.56,2,3,,
7713,PT Telkom Indonesia Tbk,ID,726,PARTIAL (Mixed Feeds),0.4,17,25,,
34927,iFog GmbH,DE,709,PARTIAL (Mixed Feeds),-1.0,14,22,,
32787,Akamai (Prolexic),US,700,PARTIAL (Mixed Feeds),-1.0,24,30,,
4229,Zenlayer Inc,US,683,PARTIAL (Mixed Feeds),-1.0,11,15,,
9583,Sify Limited,IN,679,PARTIAL (Mixed Feeds),6.16,11,15,,
37100,SEACOM Limited,DE,653,SECURE (Active Local ROV),95.95,12,17,,
2497,Internet Initiative Japan Inc.,JP,640,SECURE (Active Local ROV),98.86,2,7,,
58717,Summit Communications Ltd,BD,632,PARTIAL (Mixed Feeds),0.22,10,13,,
37662,West Indian Ocean Cable Company (WIOCC),GB,625,PARTIAL (Mixed Feeds),0.25,18,23,,
12552,GlobalConnect (IP-Only),SE,603,PARTIAL (Mixed Feeds),0.0,2,6,,
31027,GlobalConnect A/S,DK,600,PARTIAL (Mixed Feeds),0.18,1,3,,
12741,Netia SA,PL,589,PARTIAL (Mixed Feeds),71.68,9,12,,
49666,Telecommunication Infrastructure Company,IR,587,PARTIAL (Mixed Feeds),-1.0,11,13,,
7545,TPG Telecom Limited,AU,574,PARTIAL (Mixed Feeds),0.1,4,7,VULNERABLE,No Trace
20115,Charter Communications LLC,US,567,PARTIAL (Mixed Feeds),31.55,2,7,MIXED,No Trace
20562,Open Peering (Broadband Hosting B.V.),DE,531,PARTIAL (Mixed Feeds),-1.0,3,4,,
50509,Transroute.Net,RU,524,PARTIAL (Mixed Feeds),-1.0,8,10,,
29049,Delta Telecom Ltd,AZ,522,PARTIAL (Mixed Feeds),0.38,8,13,,
209,Lumen (ex. Qwest),US,510,CORE: PROTECTED,99.87,0,0,,
22773,Cox Communications Inc.,US,507,SECURE (Full Coverage),99.9,0,3,,
3549,Lumen (fka. Global Crossing),US,507,SECURE (Active Local ROV),99.0,2,4,,
34984,Superonline Iletisim Hizmetleri A.S.,TR,505,PARTIAL (Mixed Feeds),17.68,6,8,,
3303,Swisscom (Schweiz) AG,CH,503,SECURE (Active Local ROV),99.73,5,11,,
7029,Windstream Communications LLC,US,502,SECURE (Active Local ROV),99.53,6,7,,
8529,Zain Omantel International FZ-LLC,DE,493,PARTIAL (Mixed Feeds),-1.0,15,21,,
20804,Exatel S.A.,PL,493,PARTIAL (Mixed Feeds),0.45,6,8,,
136106,PT Mega Akses Persada,ID,493,PARTIAL (Mixed Feeds),-1.0,5,9,,
30844,Liquid Intelligent Technologies ,GB,489,PARTIAL (Mixed Feeds),0.3,20,25,,
9121,Turk Telekom,TR,489,PARTIAL (Mixed Feeds),0.24,3,7,VULNERABLE,No Trace
29076,Citytelecom LLC,RU,486,PARTIAL (Mixed Feeds),-1.0,8,10,,
4788,TM Technology Services Sdn. Bhd.,MY,481,PARTIAL (Mixed Feeds),94.67,7,12,,
35297,Dataline LLC,UA,472,PARTIAL (Mixed Feeds),0.17,3,9,,
60068,Datacamp Limited (CDN77 / DataPacket),US,470,PARTIAL (Mixed Feeds),0.46,23,33,,
3223,Voxility LLP,US,470,PARTIAL (Mixed Feeds),0.0,5,11,,
8708,DIGI ROMANIA S.A.,RO,467,SECURE (Active Local ROV),99.69,5,8,,
577,Bell Canada,CA,467,SECURE (Active Local ROV),99.82,6,12,,
4800,PT Aplikanusa Lintasarta,ID,466,PARTIAL (Mixed Feeds),1.25,8,13,,
3326,Datagroup PJSC,UA,457,SECURE (Active Local ROV),98.54,4,7,,
4134,China Telecom Backbone,CN,447,CORE: UNPROTECTED,0.15,0,0,,
9318,SK Broadband Co Ltd,KR,439,PARTIAL (Mixed Feeds),0.17,4,9,,
38158,PT Cyberindo Aditama,ID,430,PARTIAL (Mixed Feeds),-1.0,6,9,,
29535,Orange Polska Spolka Akcyjna,PL,429,PARTIAL (Mixed Feeds),-1.0,1,6,,
3786,LG DACOM Corporation,KR,426,PARTIAL (Mixed Feeds),0.02,5,8,,
271253,LINK BRASIL TELECOMUNICACOES LTDA,BR,426,SECURE (Active Local ROV),98.13,5,8,,
55655,PT Sarana Insan Muda Selaras,ID,425,PARTIAL (Mixed Feeds),0.0,5,6,,
50384,W-IX Route Servers,RU,423,SECURE (Full Coverage),-1.0,0,1,,
28283,Adyl Telecom,BR,416,PARTIAL (Mixed Feeds),0.12,8,12,,
8966,Etisalat (ETC),US,412,PARTIAL (Mixed Feeds),0.19,14,20,,
38195,Superloop,AU,409,SECURE (Active Local ROV),99.54,4,10,,
21859,Zenlayer Inc,US,407,PARTIAL (Mixed Feeds),46.25,62,72,,
2516,KDDI Corporation,JP,405,PARTIAL (Mixed Feeds),0.15,2,8,VULNERABLE,No Trace
17676,SoftBank Corp.,JP,401,SECURE (Active Local ROV),99.65,4,8,,
263444,Open X Tecnologia Ltda,BR,391,PARTIAL (Mixed Feeds),-1.0,9,11,,
9141,P4 Sp. z o.o.,PL,390,SECURE (Full Coverage),99.74,0,2,,
1828,Unitas Global,US,382,PARTIAL (Mixed Feeds),0.0,6,9,,
1820,WNET TELECOM USA Corp.,PL,381,PARTIAL (Mixed Feeds),1.92,4,6,,
1764,Next Layer Telecommunications,AT,381,SECURE (Active Local ROV),99.41,2,7,,
64289,Macarne.com,US,379,PARTIAL (Mixed Feeds),16.99,9,13,,
50607,Stowarzyszenie e-Poludnie,PL,375,PARTIAL (Mixed Feeds),-1.0,1,7,,
52965,1Telecom,BR,372,PARTIAL (Mixed Feeds),0.46,7,9,,
4657,StarHub Ltd,SG,371,PARTIAL (Mixed Feeds),0.11,8,12,,
201053,Stowarzyszenie e-Poludnie,DE,370,IXP / Peer / Stub,-1.0,0,0,,
3209,Vodafone GmbH,DE,369,PARTIAL (Mixed Feeds),1.27,1,3,VULNERABLE,No Trace
21215,UNITED GROUP NETWORK INFRASTRUCTURE d.o.o. Beograd,GB,367,PARTIAL (Mixed Feeds),-1.0,1,5,,
8953,Orange Romania S.A.,RO,362,PARTIAL (Mixed Feeds),0.14,5,7,,
50629,LWLcom GmbH,DE,360,SECURE (Full Coverage),100.0,0,5,,
17494,Bangladesh Telegraph & Telephone Board,BD,359,PARTIAL (Mixed Feeds),0.0,7,9,,
10075,Fiber@Home Global Limited,BD,358,PARTIAL (Mixed Feeds),0.38,5,6,,
6128,Cablevision Systems Corp.,US,353,PARTIAL (Mixed Feeds),0.61,3,7,VULNERABLE,No Trace
54004,Optimum WiFi,US,351,PARTIAL (Mixed Feeds),2.11,2,3,,
29119,AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL,ES,347,PARTIAL (Mixed Feeds),0.13,7,12,,
44901,Belcloud LTD,RU,347,PARTIAL (Mixed Feeds),1.45,7,12,,
35320,Eurotranstelecom Ltd,UA,346,PARTIAL (Mixed Feeds),94.46,2,5,,
138840,PT Parsaoran Global Datatrans,ID,343,PARTIAL (Mixed Feeds),-1.0,7,9,,
7049,Silica Networks Argentina S.A.,AR,341,PARTIAL (Mixed Feeds),0.94,2,6,,
55410,Vodafone Idea Ltd,IN,341,PARTIAL (Mixed Feeds),3.74,5,7,,
61049,Exascale Ltd,GB,340,PARTIAL (Mixed Feeds),-1.0,1,4,,
6327,Shaw Communications,CA,336,PARTIAL (Mixed Feeds),0.15,3,8,VULNERABLE,No Trace
2764,AAPT Limited,AU,336,PARTIAL (Mixed Feeds),19.01,2,4,,
13237,euNetworks GmbH,DE,333,PARTIAL (Mixed Feeds),0.0,2,6,,
62081,Stowarzyszenie e-Poludnie,PL,332,PARTIAL (Mixed Feeds),-1.0,2,8,,
35133,Eranium B.V.,NL,331,PARTIAL (Mixed Feeds),-1.0,1,7,,
9050,Orange Romania S.A.,RO,327,PARTIAL (Mixed Feeds),0.07,3,7,,
7303,Telecom Argentina S.A.,AR,326,PARTIAL (Mixed Feeds),3.92,3,8,,
6730,Sunrise GmbH,CH,325,SECURE (Full Coverage),1.66,0,1,,
35280,F5 Networks SARL,BR,325,PARTIAL (Mixed Feeds),-1.0,9,11,,
24785,Joint Transit (Broadband Hosting B.V.),NL,324,PARTIAL (Mixed Feeds),-1.0,5,8,,
23947,PT Mora Telematika Indonesia Tbk,ID,320,PARTIAL (Mixed Feeds),-1.0,7,11,,
43727,JSC KVANT-TELEKOM,RU,317,PARTIAL (Mixed Feeds),-1.0,9,11,,
39392,SH.cz s.r.o.,CZ,317,PARTIAL (Mixed Feeds),-1.0,2,5,,
45430,SBN-IIG/AWN-IIG transit provider,TH,316,PARTIAL (Mixed Feeds),-1.0,13,19,,
17557,Pakistan Telecommunication Company Limited,PK,315,PARTIAL (Mixed Feeds),0.86,10,16,,
3255,Ukrainian Academic and Research Network,UA,313,PARTIAL (Mixed Feeds),12.94,6,10,,
18403,FPT Telecom Company,VN,311,SECURE (Active Local ROV),98.71,13,18,,
263009,FORTE TELECOM LTDA.,BR,307,PARTIAL (Mixed Feeds),0.27,4,6,,
7552,Viettel Group,VN,307,PARTIAL (Mixed Feeds),0.1,8,10,,
10796,Charter Communications Inc,US,305,SECURE (Active Local ROV),99.96,3,4,,
11164,Internet2 I2PX,US,304,PARTIAL (Mixed Feeds),-1.0,1,2,,
28329,Megatelecom (G8),BR,299,PARTIAL (Mixed Feeds),0.51,2,4,,
28663,FLYS INTERATIVA LTDA,BR,298,PARTIAL (Mixed Feeds),-1.0,4,5,,
53087,TELY Ltda.,BR,293,PARTIAL (Mixed Feeds),0.23,12,14,,
29226,MasterTel,RU,290,VULNERABLE (No Coverage),-1.0,12,12,,
60299,Mezhdugorodnyaya Mezhdunarodnaya Telefonnaya Stanciya Ltd.,RU,289,PARTIAL (Mixed Feeds),-1.0,4,5,,
8452,Telecom Egypt,EG,284,PARTIAL (Mixed Feeds),79.55,3,7,,
53181,K2 Telecom e Multimidia LTDA ME,BR,283,PARTIAL (Mixed Feeds),0.11,7,9,,
9507,NextHop Pty Ltd,AU,283,PARTIAL (Mixed Feeds),-1.0,3,4,,
3741,Dimension Data,ZA,283,PARTIAL (Mixed Feeds),2.45,4,7,,
702,Verizon Business - EMEA,US,282,PARTIAL (Mixed Feeds),-1.0,2,6,,
45820,Tata Teleservices ISP,IN,282,VULNERABLE (No Coverage),1.42,8,8,,
11432,Telium Telecomunicações Ltda,BR,280,PARTIAL (Mixed Feeds),8.68,6,9,,
199524,Gcore S.A.,US,278,SECURE (Active Local ROV),99.5,34,46,,
41689,Asiatech Data Transmission company,IR,276,VULNERABLE (No Coverage),-1.0,1,1,,
32098,Flō Networks (Transtelco Inc.),MX,276,PARTIAL (Mixed Feeds),0.83,3,7,,
21320,GEANT Vereniging,US,276,PARTIAL (Mixed Feeds),-1.0,1,3,,
43754,Asiatech Data Transmission company,IR,275,VULNERABLE (No Coverage),-1.0,1,1,,
52025,ParadoxNetworks Limited,US,274,PARTIAL (Mixed Feeds),-1.0,21,28,,
38193,Transworld Associates (Pvt.) Ltd.,DE,274,PARTIAL (Mixed Feeds),2.99,8,12,,
8218,Zayo Europe,FR,274,PARTIAL (Mixed Feeds),-1.0,5,6,,
18678,INTERNEXA S.A. E.S.P,CO,272,PARTIAL (Mixed Feeds),49.06,10,13,,
13030,Init7 (Switzerland) Ltd.,CH,272,PARTIAL (Mixed Feeds),0.52,3,5,VULNERABLE,No Trace
197563,"""GLOBALNET UA"" LLC",UA,271,PARTIAL (Mixed Feeds),-1.0,3,4,,
23106,American Tower Brasil,BR,270,PARTIAL (Mixed Feeds),0.32,11,14,,
6424,EDGOO NETWORKS,BR,270,SECURE (Active Local ROV),100.0,4,7,,
8447,A1 Telekom Austria AG,AT,269,PARTIAL (Mixed Feeds),0.08,2,6,VULNERABLE,No Trace
12880,Iran Information Technology Company PJSC,IR,267,VULNERABLE (No Coverage),-1.0,1,1,INVALID TEST (Bypassed),False
4651,The Communications Authority of Thailand (CAT),DE,265,PARTIAL (Mixed Feeds),-1.0,10,15,,
33491,"Comcast Cable Communications, LLC",US,263,SECURE (Full Coverage),100.0,0,2,,
2603,NORDUnet,SE,262,PARTIAL (Mixed Feeds),-1.0,1,2,,
12302,Vodafone Romania S.A.,RO,260,VULNERABLE (No Coverage),0.19,1,1,,
50581,Ukrainian Telecommunication Group LLC,UA,259,PARTIAL (Mixed Feeds),0.04,6,7,,
1257,Tele2 Sverige AB,SE,257,SECURE (Active Local ROV),99.79,6,9,,
852,TELUS Communications Inc.,CA,257,SECURE (Active Local ROV),99.83,2,7,,
28598,MOB,BR,256,PARTIAL (Mixed Feeds),0.13,8,10,,
45899,VNPT Corp,VN,254,PARTIAL (Mixed Feeds),0.2,9,10,,
37271,Workonline Communications(Pty) Ltd,ZA,251,SECURE (Active Local ROV),100.0,6,11,,
12912,T-Mobile Polska S.A.,PL,249,PARTIAL (Mixed Feeds),0.13,1,3,,
52573,Une Telecom Ltda,BR,249,PARTIAL (Mixed Feeds),18.37,7,8,,
8641,"LLC ""Nauka-Svyaz""",RU,249,PARTIAL (Mixed Feeds),-1.0,11,12,,
13004,Serbian Open Exchange DOO,RS,248,PARTIAL (Mixed Feeds),-1.0,4,5,,
39386,Saudi Telecom Company JSC,DE,245,PARTIAL (Mixed Feeds),-1.0,4,8,,
199995,Omega Telecom LLC,UA,244,PARTIAL (Mixed Feeds),0.0,10,15,,
58682,Level3 Carrier Ltd.,BD,244,PARTIAL (Mixed Feeds),0.31,3,5,,
57344,Telehouse EAD,RU,242,PARTIAL (Mixed Feeds),0.15,10,16,,
5650,Frontier Communications,US,240,PARTIAL (Mixed Feeds),0.34,1,3,VULNERABLE,No Trace
812,Rogers Communications Canada Inc.,CA,239,PARTIAL (Mixed Feeds),0.16,5,9,VULNERABLE,No Trace
8455,atom86 BV,NL,236,PARTIAL (Mixed Feeds),-1.0,2,5,,
139009,Windstream Communication Limited,BD,235,PARTIAL (Mixed Feeds),0.27,8,10,,
5400,British Telecommunications (International) ,US,234,PARTIAL (Mixed Feeds),-1.0,3,6,,
11404,Wave Broadband,US,233,PARTIAL (Mixed Feeds),0.35,1,4,,
8881,1&1 Versatel GmbH,DE,231,PARTIAL (Mixed Feeds),0.06,3,7,VULNERABLE,No Trace
18229,CtrlS,IN,229,VULNERABLE (No Coverage),0.08,9,9,INVALID TEST (Bypassed),False
9299,PLDT (Philippine Long Distance Telephone Company),PH,225,PARTIAL (Mixed Feeds),0.38,13,17,MIXED,No Trace
721,United States Department of Defense (DoD),US,225,SECURE (Full Coverage),-1.0,0,1,,
12874,Fastweb SpA,IT,223,PARTIAL (Mixed Feeds),61.73,5,9,SECURE,No Trace
13536,"FirstLight Fiber, Inc.",US,220,PARTIAL (Mixed Feeds),0.35,2,5,,
3214,xTom GmbH,DE,220,SECURE (Active Local ROV),95.08,2,7,,
196844,"Institute of Bioorganic Chemistry Polish Academy of Science, Poznan Supercomputing and Networking Center",PL,220,IXP / Peer / Stub,-1.0,0,0,,
132884,Summit Communications Limited,BD,220,VULNERABLE (No Coverage),-1.0,3,3,,
58552,PT Multidata Rancana Prima,ID,218,PARTIAL (Mixed Feeds),-1.0,3,6,,
52873,Softdados Telecomunicações,BR,218,PARTIAL (Mixed Feeds),8.43,1,2,,
8732,JSC Comcor,RU,217,PARTIAL (Mixed Feeds),-1.0,5,6,,
15924,Vodafone Turkey,TR,215,PARTIAL (Mixed Feeds),0.77,4,6,,
28146,MHNET TELECOM,BR,214,PARTIAL (Mixed Feeds),0.15,6,8,,
42337,Respina Networks & Beyond PJSC,IR,213,VULNERABLE (No Coverage),27.97,2,2,,
50673,Serverius Holding B.V.,NL,211,PARTIAL (Mixed Feeds),0.0,5,7,,
269194,ST1 INTERNET,BR,209,PARTIAL (Mixed Feeds),0.34,5,8,,
269096,NORTH TECNOLOGIA,BR,203,PARTIAL (Mixed Feeds),0.28,5,8,,
59900,B-IX Route Servers,NL,203,IXP / Peer / Stub,-1.0,0,0,,
30781,Free Pro SAS,FR,203,SECURE (Active Local ROV),98.41,2,5,,
135069,Feenix Communications Limited,NZ,202,PARTIAL (Mixed Feeds),0.0,3,7,,
35168,TNS-Plus LLP,KZ,202,VULNERABLE (No Coverage),-1.0,10,10,,
264997,Direct Telecom Ltda,BR,201,PARTIAL (Mixed Feeds),0.43,2,5,,
55818,Matrix Cable Internet Exchange,US,200,PARTIAL (Mixed Feeds),-1.0,4,5,,
60171,AFR-IX TELECOM S.A.,ZA,200,SECURE (Active Local ROV),97.69,11,16,,
400587,"Ryamer, LLC",US,199,PARTIAL (Mixed Feeds),0.0,4,6,,
24724,Atman Sp. z o.o.,RU,199,SECURE (Full Coverage),-1.0,0,3,,
835,GoCodeIT Inc,US,197,PARTIAL (Mixed Feeds),-1.0,3,6,,
58299,Openfactory GmbH,DE,196,PARTIAL (Mixed Feeds),-1.0,4,7,,
59796,StormWall s.r.o.,DE,195,PARTIAL (Mixed Feeds),-1.0,8,9,,
5603,"Telekom Slovenije, d.d.",SI,195,PARTIAL (Mixed Feeds),0.33,6,8,,
3215,Orange S.A.,FR,194,SECURE (Active Local ROV),99.91,1,2,,
9730,Bharti Telesonic Ltd,IN,194,VULNERABLE (No Coverage),-1.0,1,1,,
8717,A1 Bulgaria EAD,BG,194,PARTIAL (Mixed Feeds),2.67,8,11,,
212815,Dyjix SAS,FR,194,VULNERABLE (No Coverage),1.23,3,3,,
24961,WIIT AG (fka. myLoc Managed IT AG),DE,192,PARTIAL (Mixed Feeds),1.06,3,6,,
16637,MTN SA (Bayobab),ZA,192,PARTIAL (Mixed Feeds),0.34,12,17,,
32097,"WholeSale Internet, Inc.",US,191,SECURE (Full Coverage),9.65,0,3,,
45147,PT NAP Info Lintas Nusa,ID,191,PARTIAL (Mixed Feeds),-1.0,4,8,,
17439,NTT Communications India Pvt. Ltd.,IN,188,VULNERABLE (No Coverage),-1.0,4,4,,
4761,PT Indosat Tbk,ID,187,PARTIAL (Mixed Feeds),91.14,7,10,,
3269,TIM S.p.A. (fka. Telecom Italia S.p.A.),IT,186,VULNERABLE (No Coverage),63.54,2,2,SECURE,No Trace
200612,Gulf Bridge International Inc.,GB,185,PARTIAL (Mixed Feeds),0.0,4,7,,
28260,ALTA REDE CORPORATE NETWORK TELECOM LTDA - EPP,BR,185,PARTIAL (Mixed Feeds),0.38,6,7,,
61599,EAI TELECOMUNICACOES LTDA,BR,185,PARTIAL (Mixed Feeds),-1.0,7,9,,
198949,Radware,US,184,PARTIAL (Mixed Feeds),-1.0,16,21,,
12735,TurkNet Iletisim Hizmetleri A.S.,TR,184,PARTIAL (Mixed Feeds),0.3,6,8,,
265269,MEGA TELE INFORMATICA,BR,183,VULNERABLE (No Coverage),0.24,6,6,,
41327,Fiber Telecom S.p.A.,IT,183,SECURE (Active Local ROV),96.3,6,10,,
33651,"Comcast Cable Communications, LLC",US,182,SECURE (Full Coverage),-1.0,0,2,,
13649,Flexential Colorado Corp.,US,181,SECURE (Active Local ROV),100.0,2,6,,
263903,INFORBARRA TELECOM,BR,181,PARTIAL (Mixed Feeds),1.63,3,4,,
44592,SkyLink Data Center BV,DE,181,PARTIAL (Mixed Feeds),-1.0,3,6,,
25478,iHome LLC,RU,181,PARTIAL (Mixed Feeds),-1.0,5,6,,
12578,SIA Tet,LV,180,PARTIAL (Mixed Feeds),0.08,3,6,,
21497,Vodafone Ukraine,UA,180,PARTIAL (Mixed Feeds),0.22,2,4,,
6774,BICS (Belgacom),RU,179,PARTIAL (Mixed Feeds),0.0,4,11,,
